,Temperature (K),Electrical Conductivity (S/cm),Seebeck Coefficient (µV/K),zT,Total Thermal Conductivity (W/mK),HOMO_energy,LUMO_energy,gap_AO,band center,Li,B,C,N,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Au,Hg,Tl,Pb,Bi,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,transition metal fraction,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,Yang omega
2713,300,3135.6,-104.18,0.33412021,3.05568,-0.185623,-0.185623,0,4.671330341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24600246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73800738,0,0,0,0.005535055,0.002460025,0,0,0,0,0,0,0,0,0,0,0,0.00799508,0,0,0,0,0,0,0,0,0,27,70,43,45.2902829,8.998909177,51,9,85,76,77.39237392,11.22896838,85,58.933195,173.054,114.120805,106.8428935,23.57180739,121.76,903.78,1768,864.22,1119.129151,319.6110983,903.78,2,15,13,13.32656827,2.47000994,15,4,6,2,4.7699877,0.378837737,5,126,215,89,136.7736777,5.300702454,139,0.89,2.05,1.16,1.993105781,0.083976707,2.05,2,0,2,0,2,0,3,3,2.21402214,1.160114922,3,0,10,10,9.104551046,1.321695874,10,14,14,0.111931119,0.222072442,0,2,16,14,13.43050431,2.357685459,15,0,0,0,0,0,0,3,3,2.21402214,1.160114922,3,9,9,0.760147601,1.142558879,0,0,0,0,0,0,0,9,9,2.974169742,0.080481838,3,10.245,63.59,53.345,26.52734317,8.010992951,31.56,0,0,0,0,0,0,1.5484712,1.5484712,0.380927724,0.574437134,0,166,229,63,173.7773678,11.47950963,166,5,0.777992746,0.747008773,0.738613796,0.738055578,0.73800863,0.24600246,2,2.21402214,9.104551046,0.111931119,0.148914736,0.164850261,0.677900907,0.008334097,3.688272346
2714,400,2738.6,-121.19,0.50888306,3.16158,-0.185623,-0.185623,0,4.671330341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24600246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73800738,0,0,0,0.005535055,0.002460025,0,0,0,0,0,0,0,0,0,0,0,0.00799508,0,0,0,0,0,0,0,0,0,27,70,43,45.2902829,8.998909177,51,9,85,76,77.39237392,11.22896838,85,58.933195,173.054,114.120805,106.8428935,23.57180739,121.76,903.78,1768,864.22,1119.129151,319.6110983,903.78,2,15,13,13.32656827,2.47000994,15,4,6,2,4.7699877,0.378837737,5,126,215,89,136.7736777,5.300702454,139,0.89,2.05,1.16,1.993105781,0.083976707,2.05,2,0,2,0,2,0,3,3,2.21402214,1.160114922,3,0,10,10,9.104551046,1.321695874,10,14,14,0.111931119,0.222072442,0,2,16,14,13.43050431,2.357685459,15,0,0,0,0,0,0,3,3,2.21402214,1.160114922,3,9,9,0.760147601,1.142558879,0,0,0,0,0,0,0,9,9,2.974169742,0.080481838,3,10.245,63.59,53.345,26.52734317,8.010992951,31.56,0,0,0,0,0,0,1.5484712,1.5484712,0.380927724,0.574437134,0,166,229,63,173.7773678,11.47950963,166,5,0.777992746,0.747008773,0.738613796,0.738055578,0.73800863,0.24600246,2,2.21402214,9.104551046,0.111931119,0.148914736,0.164850261,0.677900907,0.008334097,3.688272346
2715,700,2078.1,-161.79,1.18232014,3.22057,-0.185623,-0.185623,0,4.671330341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24600246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73800738,0,0,0,0.005535055,0.002460025,0,0,0,0,0,0,0,0,0,0,0,0.00799508,0,0,0,0,0,0,0,0,0,27,70,43,45.2902829,8.998909177,51,9,85,76,77.39237392,11.22896838,85,58.933195,173.054,114.120805,106.8428935,23.57180739,121.76,903.78,1768,864.22,1119.129151,319.6110983,903.78,2,15,13,13.32656827,2.47000994,15,4,6,2,4.7699877,0.378837737,5,126,215,89,136.7736777,5.300702454,139,0.89,2.05,1.16,1.993105781,0.083976707,2.05,2,0,2,0,2,0,3,3,2.21402214,1.160114922,3,0,10,10,9.104551046,1.321695874,10,14,14,0.111931119,0.222072442,0,2,16,14,13.43050431,2.357685459,15,0,0,0,0,0,0,3,3,2.21402214,1.160114922,3,9,9,0.760147601,1.142558879,0,0,0,0,0,0,0,9,9,2.974169742,0.080481838,3,10.245,63.59,53.345,26.52734317,8.010992951,31.56,0,0,0,0,0,0,1.5484712,1.5484712,0.380927724,0.574437134,0,166,229,63,173.7773678,11.47950963,166,5,0.777992746,0.747008773,0.738613796,0.738055578,0.73800863,0.24600246,2,2.21402214,9.104551046,0.111931119,0.148914736,0.164850261,0.677900907,0.008334097,3.688272346
2716,850,1880.3,-174.63,1.51123678,3.22516,-0.185623,-0.185623,0,4.671330341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24600246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73800738,0,0,0,0.005535055,0.002460025,0,0,0,0,0,0,0,0,0,0,0,0.00799508,0,0,0,0,0,0,0,0,0,27,70,43,45.2902829,8.998909177,51,9,85,76,77.39237392,11.22896838,85,58.933195,173.054,114.120805,106.8428935,23.57180739,121.76,903.78,1768,864.22,1119.129151,319.6110983,903.78,2,15,13,13.32656827,2.47000994,15,4,6,2,4.7699877,0.378837737,5,126,215,89,136.7736777,5.300702454,139,0.89,2.05,1.16,1.993105781,0.083976707,2.05,2,0,2,0,2,0,3,3,2.21402214,1.160114922,3,0,10,10,9.104551046,1.321695874,10,14,14,0.111931119,0.222072442,0,2,16,14,13.43050431,2.357685459,15,0,0,0,0,0,0,3,3,2.21402214,1.160114922,3,9,9,0.760147601,1.142558879,0,0,0,0,0,0,0,9,9,2.974169742,0.080481838,3,10.245,63.59,53.345,26.52734317,8.010992951,31.56,0,0,0,0,0,0,1.5484712,1.5484712,0.380927724,0.574437134,0,166,229,63,173.7773678,11.47950963,166,5,0.777992746,0.747008773,0.738613796,0.738055578,0.73800863,0.24600246,2,2.21402214,9.104551046,0.111931119,0.148914736,0.164850261,0.677900907,0.008334097,3.688272346
2717,300,3509.8,-93.73,0.30304166,3.05252,-0.185623,-0.185623,0,4.670406683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24585126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73755378,0,0,0,0.005531653,0.002458513,0,0,0,0,0,0,0,0,0,0,0,0.008604794,0,0,0,0,0,0,0,0,0,27,70,43,45.30547019,9.000845822,51,9,85,76,77.36877689,11.2568749,85,58.933195,173.054,114.120805,106.8835887,23.57732944,121.76,903.78,1768,864.22,1119.112477,319.4229371,903.78,2,15,13,13.32022127,2.477854309,15,4,6,2,4.7707437,0.37897662,5,126,215,89,136.8045482,5.312623601,139,0.89,2.05,1.16,1.992655194,0.084589757,2.05,2,0,2,0,2,0,3,3,2.21266134,1.16140921,3,0,10,10,9.098955132,1.329138096,10,14,14,0.120467117,0.238861045,0,2,16,14,13.43208359,2.357038135,15,0,0,0,0,0,0,3,3,2.21266134,1.16140921,3,9,9,0.759680393,1.142088655,0,0,0,0,0,0,0,9,9,2.972341733,0.084036705,3,10.245,63.59,53.345,26.53200983,8.008363778,31.56,0,0,0,0,0,0,1.5484712,1.5484712,0.380693596,0.574199191,0,166,229,63,173.8088506,11.51889462,166,5,0.777521129,0.746549716,0.738159823,0.737601948,0.737555029,0.24585126,2,2.21266134,9.098955132,0.120467117,0.148897227,0.164729569,0.677404594,0.00896861,3.475624905
2718,400,3085.7,-109.25,0.46097315,3.19581,-0.185623,-0.185623,0,4.670406683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24585126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73755378,0,0,0,0.005531653,0.002458513,0,0,0,0,0,0,0,0,0,0,0,0.008604794,0,0,0,0,0,0,0,0,0,27,70,43,45.30547019,9.000845822,51,9,85,76,77.36877689,11.2568749,85,58.933195,173.054,114.120805,106.8835887,23.57732944,121.76,903.78,1768,864.22,1119.112477,319.4229371,903.78,2,15,13,13.32022127,2.477854309,15,4,6,2,4.7707437,0.37897662,5,126,215,89,136.8045482,5.312623601,139,0.89,2.05,1.16,1.992655194,0.084589757,2.05,2,0,2,0,2,0,3,3,2.21266134,1.16140921,3,0,10,10,9.098955132,1.329138096,10,14,14,0.120467117,0.238861045,0,2,16,14,13.43208359,2.357038135,15,0,0,0,0,0,0,3,3,2.21266134,1.16140921,3,9,9,0.759680393,1.142088655,0,0,0,0,0,0,0,9,9,2.972341733,0.084036705,3,10.245,63.59,53.345,26.53200983,8.008363778,31.56,0,0,0,0,0,0,1.5484712,1.5484712,0.380693596,0.574199191,0,166,229,63,173.8088506,11.51889462,166,5,0.777521129,0.746549716,0.738159823,0.737601948,0.737555029,0.24585126,2,2.21266134,9.098955132,0.120467117,0.148897227,0.164729569,0.677404594,0.00896861,3.475624905
2719,700,2434.8,-148.36,1.12037687,3.34835,-0.185623,-0.185623,0,4.670406683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24585126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73755378,0,0,0,0.005531653,0.002458513,0,0,0,0,0,0,0,0,0,0,0,0.008604794,0,0,0,0,0,0,0,0,0,27,70,43,45.30547019,9.000845822,51,9,85,76,77.36877689,11.2568749,85,58.933195,173.054,114.120805,106.8835887,23.57732944,121.76,903.78,1768,864.22,1119.112477,319.4229371,903.78,2,15,13,13.32022127,2.477854309,15,4,6,2,4.7707437,0.37897662,5,126,215,89,136.8045482,5.312623601,139,0.89,2.05,1.16,1.992655194,0.084589757,2.05,2,0,2,0,2,0,3,3,2.21266134,1.16140921,3,0,10,10,9.098955132,1.329138096,10,14,14,0.120467117,0.238861045,0,2,16,14,13.43208359,2.357038135,15,0,0,0,0,0,0,3,3,2.21266134,1.16140921,3,9,9,0.759680393,1.142088655,0,0,0,0,0,0,0,9,9,2.972341733,0.084036705,3,10.245,63.59,53.345,26.53200983,8.008363778,31.56,0,0,0,0,0,0,1.5484712,1.5484712,0.380693596,0.574199191,0,166,229,63,173.8088506,11.51889462,166,5,0.777521129,0.746549716,0.738159823,0.737601948,0.737555029,0.24585126,2,2.21266134,9.098955132,0.120467117,0.148897227,0.164729569,0.677404594,0.00896861,3.475624905
2720,400,1859.658,45.69948,0.0610166,2.381579,-0.202272,-0.202272,0,5.018081953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,29,80,51,49.5,10.25,52,64,90,26,79.875,10.15625,90,63.546,200.59,137.044,119.599,28.24875,127.6,234.32,1357.77,1123.45,793.1975,282.28625,722.66,11,16,5,14,2,16,4,6,2,4.875,0.4375,5,132,139,7,135.875,2.90625,138,1.9,2.1,0.2,2.02,0.08,2.1,1,1,1.75,0.375,2,0,4,4,2.25,1.75,4,10,10,0,10,0,10,14,14,1.75,3.0625,0,11,26,15,15.75,2.8125,16,1,1,0.25,0.375,0,0,4,4,1.5,1.125,2,0,0,0,0,0,0,0,0,0,0,0,4,4,1.75,0.8125,2,11.07,34.76333333,23.69333333,27.46448994,8.753970905,34.76333333,0,0.464,0.464,0.232,0.232,0.464,0,0,0,0,0,141,225,84,170.625,27.1875,152,4,0.58630197,0.524792057,0.503277073,0.500564837,0.500048902,0.25,1.75,2.25,10,1.75,0.111111111,0.142857143,0.634920635,0.111111111,7999353.085
2721,400,753.1069,74.30052,0.0925936,1.657895,-0.202272,-0.202272,0,5.053188356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,29,80,51,47.7,12.09,52,64,90,26,79.775,10.08125,90,63.546,200.59,137.044,114.735,32.7495,127.6,234.32,1357.77,1123.45,770.3315,293.71925,722.66,11,16,5,14,2,16,4,6,2,4.775,0.5425,5,120,139,19,134.075,4.37125,138,1.9,2.55,0.65,2.065,0.125,2.1,1,1,1.75,0.375,2,0,4,4,2.25,1.75,4,10,10,0,10,0,10,14,14,1.75,3.0625,0,11,26,15,15.75,2.8125,16,1,1,0.25,0.375,0,0,4,4,1.5,1.125,2,0,0,0,0,0,0,0,0,0,0,0,4,4,1.75,0.8125,2,11.07,34.76333333,23.69333333,26.58015661,8.222752227,34.76333333,0,0.799,0.799,0.2655,0.2655,0.464,0,0,0,0,0,14,225,211,156.825,36.38125,152,5,0.513565965,0.438873236,0.40786863,0.40213112,0.40036306,0.25,1.75,2.25,10,1.75,0.111111111,0.142857143,0.634920635,0.111111111,9371173.426
2722,400,381.7222,97.61658,0.19571304,0.743421,-0.202272,-0.202272,0,5.106309005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,29,80,51,45,13.5,29,64,90,26,79.625,9.96875,64,63.546,200.59,137.044,107.439,36.186,63.546,234.32,1357.77,1123.45,736.0325,310.86875,494,11,16,5,14,2,11,4,6,2,4.625,0.625,4,120,139,19,131.375,5.6875,120,1.9,2.55,0.65,2.1325,0.20875,1.9,1,1,1.75,0.375,1,0,4,4,2.25,1.75,0,10,10,0,10,0,10,14,14,1.75,3.0625,0,11,26,15,15.75,2.8125,11,1,1,0.25,0.375,0,0,4,4,1.5,1.125,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1.75,0.8125,1,11.07,34.76333333,23.69333333,25.25365661,7.095845905,11.07,0,0.799,0.799,0.31575,0.31575,0,0,0,0,0,0,14,225,211,136.125,61.0625,14,5,0.467707173,0.370312009,0.312719691,0.29269984,0.279048954,0.25,1.75,2.25,10,1.75,0.111111111,0.142857143,0.634920635,0.111111111,9543660.698
2723,700,332.8006,129.6373,0.696017,0.5625,-0.202272,-0.202272,0,5.106309005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,29,80,51,45,13.5,29,64,90,26,79.625,9.96875,64,63.546,200.59,137.044,107.439,36.186,63.546,234.32,1357.77,1123.45,736.0325,310.86875,494,11,16,5,14,2,11,4,6,2,4.625,0.625,4,120,139,19,131.375,5.6875,120,1.9,2.55,0.65,2.1325,0.20875,1.9,1,1,1.75,0.375,1,0,4,4,2.25,1.75,0,10,10,0,10,0,10,14,14,1.75,3.0625,0,11,26,15,15.75,2.8125,11,1,1,0.25,0.375,0,0,4,4,1.5,1.125,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1.75,0.8125,1,11.07,34.76333333,23.69333333,25.25365661,7.095845905,11.07,0,0.799,0.799,0.31575,0.31575,0,0,0,0,0,0,14,225,211,136.125,61.0625,14,5,0.467707173,0.370312009,0.312719691,0.29269984,0.279048954,0.25,1.75,2.25,10,1.75,0.111111111,0.142857143,0.634920635,0.111111111,9543660.698
2724,300,113.1879,132.1244,0.0690431,0.858553,-0.202272,-0.202272,0,5.159988074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,29,80,51,42.3,13.29,34,64,90,26,79.475,9.85625,89,63.546,200.59,137.044,100.143,35.2449,78.96,234.32,1357.77,1123.45,701.7335,332.20355,494,11,16,5,14,2,16,4,6,2,4.475,0.6175,4,120,139,19,128.675,6.94,120,1.9,2.55,0.65,2.2,0.28,2.55,1,1,1.75,0.375,2,0,4,4,2.25,1.75,4,10,10,0,10,0,10,14,14,1.75,3.0625,0,11,26,15,15.75,2.8125,16,1,1,0.25,0.375,0,0,4,4,1.5,1.125,2,0,0,0,0,0,0,0,0,0,0,0,4,4,1.75,0.8125,2,11.07,34.76333333,23.69333333,23.92715661,6.428578305,25.92,0,0.799,0.799,0.366,0.366,0.799,0,0,0,0,0,14,225,211,115.425,81.14,14,5,0.513565965,0.438873236,0.40786863,0.40213112,0.40036306,0.25,1.75,2.25,10,1.75,0.111111111,0.142857143,0.634920635,0.111111111,8536670.676
2725,400,98.68167,162.5906736,0.17526,0.595395,-0.202272,-0.202272,0,5.159988074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,29,80,51,42.3,13.29,34,64,90,26,79.475,9.85625,89,63.546,200.59,137.044,100.143,35.2449,78.96,234.32,1357.77,1123.45,701.7335,332.20355,494,11,16,5,14,2,16,4,6,2,4.475,0.6175,4,120,139,19,128.675,6.94,120,1.9,2.55,0.65,2.2,0.28,2.55,1,1,1.75,0.375,2,0,4,4,2.25,1.75,4,10,10,0,10,0,10,14,14,1.75,3.0625,0,11,26,15,15.75,2.8125,16,1,1,0.25,0.375,0,0,4,4,1.5,1.125,2,0,0,0,0,0,0,0,0,0,0,0,4,4,1.75,0.8125,2,11.07,34.76333333,23.69333333,23.92715661,6.428578305,25.92,0,0.799,0.799,0.366,0.366,0.799,0,0,0,0,0,14,225,211,115.425,81.14,14,5,0.513565965,0.438873236,0.40786863,0.40213112,0.40036306,0.25,1.75,2.25,10,1.75,0.111111111,0.142857143,0.634920635,0.111111111,8536670.676
2726,700,74.54224,214.1968912,0.601472,0.398026,-0.202272,-0.202272,0,5.159988074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,29,80,51,42.3,13.29,34,64,90,26,79.475,9.85625,89,63.546,200.59,137.044,100.143,35.2449,78.96,234.32,1357.77,1123.45,701.7335,332.20355,494,11,16,5,14,2,16,4,6,2,4.475,0.6175,4,120,139,19,128.675,6.94,120,1.9,2.55,0.65,2.2,0.28,2.55,1,1,1.75,0.375,2,0,4,4,2.25,1.75,4,10,10,0,10,0,10,14,14,1.75,3.0625,0,11,26,15,15.75,2.8125,16,1,1,0.25,0.375,0,0,4,4,1.5,1.125,2,0,0,0,0,0,0,0,0,0,0,0,4,4,1.75,0.8125,2,11.07,34.76333333,23.69333333,23.92715661,6.428578305,25.92,0,0.799,0.799,0.366,0.366,0.799,0,0,0,0,0,14,225,211,115.425,81.14,14,5,0.513565965,0.438873236,0.40786863,0.40213112,0.40036306,0.25,1.75,2.25,10,1.75,0.111111111,0.142857143,0.634920635,0.111111111,8536670.676
2727,300,68.73943,201.76,0.101268,0.828947,-0.202272,-0.202272,0,5.196087249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,29,80,51,40.5,12.25,34,64,89,25,79.375,9.78125,89,63.546,200.59,137.044,95.279,32.1855,78.96,234.32,1357.77,1123.45,678.8675,339.45125,494,11,16,5,14,2,16,4,6,2,4.375,0.5625,4,120,139,19,126.875,6.875,120,1.9,2.55,0.65,2.245,0.305,2.55,1,1,1.75,0.375,2,0,4,4,2.25,1.75,4,10,10,0,10,0,10,14,14,1.75,3.0625,0,11,26,15,15.75,2.8125,16,1,1,0.25,0.375,0,0,4,4,1.5,1.125,2,0,0,0,0,0,0,0,0,0,0,0,4,4,1.75,0.8125,2,11.07,33.285,22.215,23.04282328,5.986411638,25.92,0,0.799,0.799,0.3995,0.3995,0.799,0,0,0,0,0,14,225,211,101.625,87.625,14,4,0.58630197,0.524792057,0.503277073,0.500564837,0.500048902,0.25,1.75,2.25,10,1.75,0.111111111,0.142857143,0.634920635,0.111111111,6846341.334
2728,400,58.81937,244.66,0.251843,0.559211,-0.202272,-0.202272,0,5.196087249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,29,80,51,40.5,12.25,34,64,89,25,79.375,9.78125,89,63.546,200.59,137.044,95.279,32.1855,78.96,234.32,1357.77,1123.45,678.8675,339.45125,494,11,16,5,14,2,16,4,6,2,4.375,0.5625,4,120,139,19,126.875,6.875,120,1.9,2.55,0.65,2.245,0.305,2.55,1,1,1.75,0.375,2,0,4,4,2.25,1.75,4,10,10,0,10,0,10,14,14,1.75,3.0625,0,11,26,15,15.75,2.8125,16,1,1,0.25,0.375,0,0,4,4,1.5,1.125,2,0,0,0,0,0,0,0,0,0,0,0,4,4,1.75,0.8125,2,11.07,33.285,22.215,23.04282328,5.986411638,25.92,0,0.799,0.799,0.3995,0.3995,0.799,0,0,0,0,0,14,225,211,101.625,87.625,14,4,0.58630197,0.524792057,0.503277073,0.500564837,0.500048902,0.25,1.75,2.25,10,1.75,0.111111111,0.142857143,0.634920635,0.111111111,6846341.334
2729,700,42.00679,283.8342,0.673033,0.351974,-0.202272,-0.202272,0,5.196087249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,29,80,51,40.5,12.25,34,64,89,25,79.375,9.78125,89,63.546,200.59,137.044,95.279,32.1855,78.96,234.32,1357.77,1123.45,678.8675,339.45125,494,11,16,5,14,2,16,4,6,2,4.375,0.5625,4,120,139,19,126.875,6.875,120,1.9,2.55,0.65,2.245,0.305,2.55,1,1,1.75,0.375,2,0,4,4,2.25,1.75,4,10,10,0,10,0,10,14,14,1.75,3.0625,0,11,26,15,15.75,2.8125,16,1,1,0.25,0.375,0,0,4,4,1.5,1.125,2,0,0,0,0,0,0,0,0,0,0,0,4,4,1.75,0.8125,2,11.07,33.285,22.215,23.04282328,5.986411638,25.92,0,0.799,0.799,0.3995,0.3995,0.799,0,0,0,0,0,14,225,211,101.625,87.625,14,4,0.58630197,0.524792057,0.503277073,0.500564837,0.500048902,0.25,1.75,2.25,10,1.75,0.111111111,0.142857143,0.634920635,0.111111111,6846341.334
